filename,label
f000005_t002.png,7
f000005_t003.png,4
f000005_t004.png,25
f000005_t005.png,14
f000005_t006.png,unreadable
f000005_t007.png,2
f000005_t008.png,unreadable
f000005_t009.png,8
f000005_t010.png,8
f000005_t011.png,unreadable
f000005_t012.png,90
f000005_t013.png,71
f000005_t014.png,63
f000005_t015.png,90
f000005_t016.png,71
f000005_t017.png,unreadable
f000005_t018.png,18
f000005_t019.png,unreadable
f000005_t020.png,18
f000005_t021.png,unreadable
f000010_t006.png,0
f000015_t001.png,5
f000015_t002.png,2
f000020_t022.png,64
f000025_t002.png,7
f000025_t003.png,4
f000025_t004.png,25
f000025_t005.png,14
f000025_t006.png,53
f000025_t007.png,2
f000025_t008.png,89
f000025_t009.png,8
f000025_t010.png,8
f000025_t011.png,unreadable
f000025_t012.png,90
f000025_t013.png,unreadable
f000025_t014.png,63
f000025_t015.png,unreadable
f000025_t016.png,71
f000025_t017.png,unreadable
f000025_t018.png,18
f000025_t019.png,unreadable
f000025_t020.png,18
f000025_t021.png,unreadable
f000030_t021.png,unreadable
f000035_t002.png,2
f000035_t013.png,14
f000040_t001.png,5
f000040_t006.png,0
f000040_t022.png,64
f000040_t024.png,53
f000045_t002.png,7
f000045_t003.png,4
f000045_t004.png,25
f000045_t005.png,14
f000045_t006.png,53
f000045_t007.png,unreadable
f000045_t008.png,89
f000045_t009.png,8
f000045_t010.png,8
f000045_t011.png,3
f000045_t012.png,91
f000045_t013.png,71
f000045_t014.png,63
f000045_t015.png,unreadable
f000045_t016.png,89
f000045_t017.png,unreadable
f000045_t018.png,unreadable
f000045_t019.png,64
f000045_t020.png,18
f000045_t021.png,64
f000050_t021.png,unreadable
f000055_t002.png,2
f000055_t013.png,14
f000055_t025.png,53
f000060_t001.png,unreadable
f000060_t006.png,0
f000060_t022.png,64
f000065_t002.png,7
f000065_t003.png,4
f000065_t004.png,25
f000065_t005.png,14
f000065_t006.png,53
f000065_t007.png,unreadable
f000065_t008.png,89
f000065_t009.png,unreadable
f000065_t010.png,8
f000065_t011.png,3
f000065_t012.png,unreadable
f000065_t013.png,10
f000065_t014.png,64
f000065_t016.png,18
f000065_t017.png,70
f000065_t018.png,65
f000065_t019.png,64
f000065_t020.png,18
f000065_t021.png,unreadable
f000065_t023.png,94
f000065_t031.png,64
f000070_t015.png,unreadable
f000070_t032.png,5
f000075_t002.png,2
f000075_t012.png,unreadable
f000075_t013.png,14
f000075_t021.png,70
f000075_t025.png,0
f000080_t001.png,5
f000080_t002.png,unreadable
f000080_t003.png,1
f000080_t004.png,unreadable
f000080_t005.png,unreadable
f000080_t006.png,unreadable
f000080_t007.png,14
f000080_t009.png,7
f000080_t010.png,3
f000080_t011.png,unreadable
f000080_t012.png,unreadable
f000080_t013.png,3
f000080_t014.png,unreadable
f000080_t015.png,unreadable
f000080_t016.png,89
f000080_t017.png,unreadable
f000080_t018.png,18
f000080_t019.png,unreadable
f000080_t020.png,53
f000080_t021.png,unreadable
